First Characters Name,Second Characters Name,Season,Episode
Walter White,Jesse Pinkman,Season 1,Episode 1
Walter White,Skyler White,Season 1,Episode 1
Walter White,Walt JR,Season 1,Episode 1
Skyler White,Walt JR,Season 1,Episode 1
Walter White,Walt JR,Season 1,Episode 1
Walter White,Bogdan,Season 1,Episode 1
Walter White,Skyler White,Season 1,Episode 1
Skyler White,Marie Schrader,Season 1,Episode 1
Hank Schrader,Walt JR,Season 1,Episode 1
Hank Schrader,Steven Gomez,Season 1,Episode 1
Hank Schrader,Walter White,Season 1,Episode 1
Walter White,Skyler White,Season 1,Episode 1
Hank Schrader,Skyler White,Season 1,Episode 1
Hank Schrader,Marie Schrader,Season 1,Episode 1
Marie Schrader,Steven Gomez,Season 1,Episode 1
Walter White,Doctor #1,Season 1,Episode 1
Skyler White,Walter White,Season 1,Episode 1
Walter White,Bogdan,Season 1,Episode 1
Walter White,Hank Schrader,Season 1,Episode 1
Walter White,Steven Gomez,Season 1,Episode 1
Hank Schrader,Steven Gomez,Season 1,Episode 1
Walter White,Jesse Pinkman,Season 1,Episode 1
Walter White,Jesse Pinkman,Season 1,Episode 1
Skyler White,Marie Schrader,Season 1,Episode 1
Walter White,Jesse Pinkman,Season 1,Episode 1
Walter White,Jesse Pinkman,Season 1,Episode 1
Walter White,Walt JR,Season 1,Episode 1
Skyler White,Walt JR,Season 1,Episode 1
Skyler White,Walter White,Season 1,Episode 1
Walter White,Jesse Pinkman,Season 1,Episode 1
Jesse Pinkman,Emilio Koyama,Season 1,Episode 1
Walter White,Emilio Koyama,Season 1,Episode 1
Walter White,Krazy 8,Season 1,Episode 1
Jesse Pinkman,Krazy 8,Season 1,Episode 1
Walter White,Jesse Pinkman,Season 1,Episode 1
Walter White,Skyler White,Season 1,Episode 1
Walter White,Student #1,Season 1,Episode 1
Walter White,Student #1,Season 1,Episode 1
Walter White,Skyler White,Season 1,Episode 2
Walter White,Jesse Pinkman,Season 1,Episode 2
Walter White,Backhoe operator,Season 1,Episode 2
Jesse Pinkman,Backhoe operator,Season 1,Episode 2
Walter White,Jesse Pinkman,Season 1,Episode 2
Walter White,Skyler White,Season 1,Episode 2
Walter White,Walt JR,Season 1,Episode 2
Skyler White,Walt JR,Season 1,Episode 2
Walter White,Jesse Pinkman,Season 1,Episode 2
Walter White,Student #2,Season 1,Episode 2
Walter White,Emilio Koyama,Season 1,Episode 2
Walter White,Jesse Pinkman,Season 1,Episode 2
Walter White,Jesse Pinkman,Season 1,Episode 2
Walter White,Emilio Koyama,Season 1,Episode 2
Walter White,Jesse Pinkman,Season 1,Episode 2
Walter White,Skyler White,Season 1,Episode 2
Jesse Pinkman,Skyler White,Season 1,Episode 2
Walter White,Jesse Pinkman,Season 1,Episode 2
Walter White,Jesse Pinkman,Season 1,Episode 3
Walter White,Gretchen Schwartz,Season 1,Episode 3
Skyler White,Marie Schrader,Season 1,Episode 3
Skyler White,Walt JR,Season 1,Episode 3
Marie Schrader,Walt JR,Season 1,Episode 3
Walter White,Emilio Koyama,Season 1,Episode 3
Walter White,Jesse Pinkman,Season 1,Episode 3
Marie Schrader,Hank Schrader,Season 1,Episode 3
Hank Schrader,Steven Gomez,Season 1,Episode 3
Hank Schrader,Walt JR,Season 1,Episode 3
Hank Schrader,Wendy,Season 1,Episode 3
Walt JR,Wendy,Season 1,Episode 3
Jesse Pinkman,Wendy,Season 1,Episode 3
Walter White,Skyler White,Season 1,Episode 3
Walter White,Emilio Koyama,Season 1,Episode 3
Hank Schrader,Steven Gomez,Season 1,Episode 3
Walter White,Gretchen Schwartz,Season 1,Episode 3
Walter White,Skyler White,Season 1,Episode 3
Hank Schrader,Steven Gomez,Season 1,Episode 4
Walter White,Hank Schrader,Season 1,Episode 4
Skyler White,Hank Schrader,Season 1,Episode 4
Marie Schrader,Hank Schrader,Season 1,Episode 4
Walter White,Marie Schrader,Season 1,Episode 4
Walter White,Skyler White,Season 1,Episode 4
Walt JR,Walter White,Season 1,Episode 4
Walt JR,Skyler White,Season 1,Episode 4
Walt JR,Marie Schrader,Season 1,Episode 4
Walt JR,Hank Schrader,Season 1,Episode 4
Skyler White,Marie Schrader,Season 1,Episode 4
Walter White,Hank Schrader,Season 1,Episode 4
Skyler White,Hank Schrader,Season 1,Episode 4
Marie Schrader,Hank Schrader,Season 1,Episode 4
Walter White,Marie Schrader,Season 1,Episode 4
Walter White,Skyler White,Season 1,Episode 4
Skyler White,Marie Schrader,Season 1,Episode 4
Jesse Pinkman,Combo,Season 1,Episode 4
Jesse Pinkman,Skinny Pete,Season 1,Episode 4
Skinny Pete,Combo,Season 1,Episode 4
Walter White,Skyler White,Season 1,Episode 4
Walter White,Walt JR,Season 1,Episode 4
Walter White,Ken,Season 1,Episode 4
Diane Pinkman,Adam Pinkman,Season 1,Episode 4
Diane Pinkman,Jake Pinkman,Season 1,Episode 4
Adam Pinkman,Jake Pinkman,Season 1,Episode 4
Diane Pinkman,Jesse Pinkman,Season 1,Episode 4
Adam Pinkman,Jesse Pinkman,Season 1,Episode 4
Jesse Pinkman,Jake Pinkman,Season 1,Episode 4
Diane Pinkman,Adam Pinkman,Season 1,Episode 4
Diane Pinkman,Jesse Pinkman,Season 1,Episode 4
Adam Pinkman,Jesse Pinkman,Season 1,Episode 4
Walter White,Walt JR,Season 1,Episode 4
Jesse Pinkman,Jake Pinkman,Season 1,Episode 4
Jesse Pinkman,Diane Pinkman,Season 1,Episode 4
Diane Pinkman,Jake Pinkman,Season 1,Episode 4
Jesse Pinkman,Combo,Season 1,Episode 4
Walter White,Jesse Pinkman,Season 1,Episode 4
Walter White,Dr Delcavoli,Season 1,Episode 4
Skyler White,Dr Delcavoli,Season 1,Episode 4
Walter White,Skyler White,Season 1,Episode 4
Diane Pinkman,Jesse Pinkman,Season 1,Episode 4
Adam Pinkman,Jesse Pinkman,Season 1,Episode 4
